unix	долото
1700056773	3730.03
1700056775	3730.03
1700056777	3730.03
1700056779	3730.03
1700056781	3730.03
1700056783	3730.03
1700056785	3729.44
1700056787	3729.21
1700056789	3729.21
1700056791	3729.21
1700056793	3729.24
1700056795	3729.29
1700056797	3729.35
1700056799	3729.49
1700056801	3729.52
1700056803	3729.54
1700056805	3729.56
1700056807	3729.59
1700056809	3729.64
1700056811	3729.71
1700056813	3729.75
1700056815	3729.77
1700056817	3729.80
1700056819	3729.84
1700056821	3729.86
1700056823	3729.88
1700056825	3729.91
1700056827	3729.94
1700056829	3730.01
1700056831	3730.05
1700056833	3730.09
1700056835	3730.14
1700056837	3730.17
1700056839	3730.19
1700056841	3730.20
1700056843	3730.21
1700056845	3730.23
1700056847	3730.25
1700056849	3730.28
1700056851	3730.32
1700056853	3730.34
1700056855	3730.35
1700056857	3730.38
1700056859	3730.40
1700056861	3730.43
1700056863	3730.45
1700056865	3730.47
1700056867	3730.49
1700056869	3730.50
1700056871	3730.52
1700056873	3730.56
1700056875	3730.61
1700056877	3730.63
1700056879	3730.65
1700056881	3730.66
1700056883	3730.69
1700056885	3730.73
1700056887	3730.75
1700056889	3730.77
1700056891	3730.80
1700056893	3730.82
1700056895	3730.85
1700056897	3730.90
1700056899	3730.93
1700056901	3730.95
1700056903	3730.97
1700056905	3731.00
1700056907	3731.04
1700056909	3731.06
1700056911	3731.08
1700056913	3731.11
1700056915	3731.15
1700056917	3731.18
1700056919	3731.23
1700056921	3731.24
1700056923	3731.27
1700056925	3731.30
1700056927	3731.33
1700056929	3731.35
1700056931	3731.37
1700056933	3731.39
1700056935	3731.41
1700056937	3731.45
1700056939	3731.49
1700056941	3731.53
1700056943	3731.54
1700056945	3731.57
1700056947	3731.59
1700056949	3731.62
1700056951	3731.64
1700056953	3731.67
1700056955	3731.69
1700056957	3731.72
1700056959	3731.75
1700056961	3731.79
1700056963	3731.82
1700056965	3731.84
1700056967	3731.85
1700056969	3731.88
1700056971	3731.91
1700056973	3731.94
1700056975	3731.96
1700056977	3731.97
1700056979	3731.99
1700056981	3732.04
1700056983	3732.08
1700056985	3732.12
1700056987	3732.14
1700056989	3732.16
1700056991	3732.19
1700056993	3732.22
1700056995	3732.24
1700056997	3732.26
1700056999	3732.28
1700057001	3732.30
1700057003	3732.34
1700057005	3732.37
1700057007	3732.40
1700057009	3732.42
1700057011	3732.42
1700057013	3732.42
1700057015	3732.43
1700057017	3732.45
1700057019	3732.46
1700057021	3732.48
1700057023	3732.50
1700057025	3732.53
1700057027	3732.54
1700057029	3732.56
1700057031	3732.58
1700057033	3732.59
1700057035	3732.62
1700057037	3732.66
1700057039	3732.69
1700057041	3732.72
1700057043	3732.73
1700057045	3732.75
1700057047	3732.78
1700057049	3732.81
1700057051	3732.83
1700057053	3732.85
1700057055	3732.87
1700057057	3732.88
1700057059	3732.90
1700057061	3732.91
1700057063	3732.92
1700057065	3732.94
1700057067	3732.96
1700057069	3732.98
1700057071	3733.00
1700057073	3733.00
1700057075	3733.00
1700057077	3733.00
1700057079	3733.00
1700057081	3733.00
1700057083	3733.00
1700057085	3733.00
1700057087	3733.00
1700057089	3733.00
1700057091	3733.00
1700057093	3733.00
1700057095	3733.00
1700057097	3733.00
1700057099	3733.00
1700057101	3733.00
1700057103	3733.00
1700057105	3733.00
1700057107	3733.00
1700057109	3733.00
1700057111	3733.00
1700057113	3733.00
1700057115	3733.00
1700057117	3733.00
1700057119	3733.00
1700057121	3733.00
1700057123	3733.00
1700057125	3733.00
1700057127	3733.00
1700057129	3733.00
1700057131	3733.00
1700057133	3733.00
1700057135	3733.00
1700057137	3733.00
1700057139	3733.00
1700057141	3733.00
1700057143	3733.00
1700057145	3733.00
1700057147	3733.00
1700057149	3733.00
1700057151	3733.00
1700057153	3733.00
1700057155	3733.00
1700057157	3733.00
1700057159	3733.00
1700057161	3733.00
1700057163	3733.00
1700057165	3733.00
1700057167	3733.00
1700057169	3733.00
1700057171	3733.00
1700057173	3733.00
1700057175	3733.00
1700057177	3733.00
1700057179	3733.00
1700057181	3733.00
1700057183	3733.00
1700057185	3733.00
1700057187	3733.00
1700057189	3733.00
1700057191	3733.00
1700057193	3733.00
1700057195	3733.00
1700057197	3733.00
1700057199	3732.99
1700057201	3732.99
1700057203	3732.98
1700057205	3732.98
1700057207	3732.98
1700057209	3732.97
1700057211	3732.97
1700057213	3732.95
1700057215	3732.94
1700057217	3732.92
1700057219	3732.90
1700057221	3732.87
1700057223	3732.84
1700057225	3732.81
1700057227	3732.78
1700057232	3732.72
1700057234	3732.73
1700057236	3732.75
1700057238	3732.78
1700057240	3732.79
1700057242	3732.80
1700057244	3732.81
1700057246	3732.82
1700057248	3732.84
1700057250	3732.84
1700057252	3732.84
1700057254	3732.82
1700057256	3732.80
1700057258	3732.77
1700057260	3732.76
1700057262	3732.72
1700057264	3732.68
1700057266	3732.64
1700057268	3732.60
1700057270	3732.60
1700057272	3732.60
1700057274	3732.59
1700057276	3732.57
1700057278	3732.56
1700057280	3732.55
1700057282	3732.56
1700057284	3732.60
1700057286	3732.60
1700057288	3732.60
1700057290	3732.59
1700057292	3732.57
1700057294	3732.56
1700057296	3732.55
1700057298	3732.55
1700057300	3732.55
1700057302	3732.55
1700057304	3732.55
1700057306	3732.55
1700057308	3732.55
1700057310	3732.55
1700057312	3732.55
1700057314	3732.55
1700057316	3732.55
1700057318	3732.55
1700057320	3732.56
1700057322	3732.56
1700057324	3732.56
1700057326	3732.58
1700057328	3732.60
1700057330	3732.63
1700057332	3732.66
1700057334	3732.68
1700057336	3732.68
1700057338	3732.68
1700057340	3732.68
1700057342	3732.68
1700057344	3732.68
1700057346	3732.68
1700057348	3732.68
1700057350	3732.68
1700057352	3732.68
1700057354	3732.68
1700057356	3732.68
1700057358	3732.68
1700057360	3732.68
1700057362	3732.68
1700057364	3732.68
1700057366	3732.68
1700057368	3732.68
1700057370	3732.68
1700057372	3732.68
1700057374	3732.68
1700057376	3732.68
1700057378	3732.68
1700057380	3732.68
1700057382	3732.68
1700057384	3732.68
1700057386	3732.68
1700057388	3732.68
1700057390	3732.68
1700057392	3732.68
1700057394	3732.68
1700057396	3732.68
1700057398	3732.68
1700057400	3732.68
1700057402	3732.68
1700057404	3732.68
1700057406	3732.68
1700057408	3732.68
1700057410	3732.68
1700057412	3732.68
1700057414	3732.68
1700057416	3732.68
1700057418	3732.68
1700057420	3732.68
1700057422	3732.68
1700057424	3732.68
1700057426	3732.68
1700057428	3732.68
1700057430	3732.68
1700057432	3732.68
1700057434	3732.68
1700057436	3732.68
